FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-1.0213,-0.627,-0.6278,-0.6021,-0.5426,-0.3715,0.1214,0.4739,0.5746,0.7578,-0.1979,-0.3633,-0.6816,-0.7722,-1.0286,-0.5367,-1.4732,-0.953,-1.1165,-1.1613,-1.0832,-0.7943,-0.6675,-0.6865,0.1892,-0.3771,-0.6528,-1.6361,-0.9411,-0.8661
-0.9513,-0.4971,-0.5309,-0.5532,-0.5166,-0.3295,0.0682,0.4828,0.6534,0.7074,-0.1507,-0.385,-0.8238,-0.831,-0.9055,-0.3776,-1.3103,-0.7595,-0.9836,-1.0747,-1.0715,-0.8126,-0.6901,-0.8709,-0.0319,-0.5794,-0.8432,-1.7472,-0.8476,-0.7003
-0.9742,-0.4569,-0.5104,-0.5892,-0.5715,-0.3603,-0.0525,0.4306,0.6778,0.5873,-0.113,-0.3777,-0.9938,-0.957,-0.85,-0.3185,-1.22,-0.6137,-0.9332,-1.0797,-1.1477,-0.9141,-0.7922,-1.0856,-0.2933,-0.7927,-1.0413,-1.8432,-0.7773,-0.5492
-1.0904,-0.5104,-0.5679,-0.7095,-0.7116,-0.4692,-0.2386,0.3226,0.6365,0.3989,-0.095,-0.345,-1.1876,-1.1535,-0.8732,-0.3657,-1.2145,-0.5336,-0.9783,-1.185,-1.3187,-1.0998,-0.971,-1.3205,-0.5747,-0.999,-1.2369,-1.9197,-0.7354,-0.4198
-1.2856,-0.6459,-0.6926,-0.8991,-0.9267,-0.65,-0.4794,0.1694,0.5261,0.1524,-0.1021,-0.2921,-1.3965,-1.409,-0.9728,-0.506,-1.2918,-0.5264,-1.1152,-1.3798,-1.5719,-1.3543,-1.2101,-1.5605,-0.8523,-1.1793,-1.4166,-1.9712,-0.7219,-0.3125
-1.5356,-0.8409,-0.8655,-1.1343,-1.1957,-0.8874,-0.7561,-0.0139,0.3533,-0.1335,-0.1342,-0.2251,-1.6083,-1.701,-1.1348,-0.7119,-1.4372,-0.5889,-1.3249,-1.6384,-1.8793,-1.6487,-1.483,-1.7877,-1.1026,-1.3152,-1.5658,-1.9928,-0.7326,-0.2239
-1.8125,-1.0669,-1.0638,-1.3881,-1.4907,-1.1592,-1.0447,-0.2097,0.1343,-0.4333,-0.1855,-0.152,-1.8099,-2.0007,-1.3376,-0.9482,-1.6276,-0.7103,-1.5781,-1.9274,-2.2052,-1.9474,-1.7583,-1.9836,-1.3054,-1.3925,-1.6705,-1.9824,-0.7614,-0.1503
-2.0896,-1.296,-1.2652,-1.6347,-1.7819,-1.4398,-1.3188,-0.3993,-0.1075,-0.7184,-0.2459,-0.0828,-1.9886,-2.2788,-1.5575,-1.1797,-1.8371,-0.875,-1.8419,-2.2127,-2.5141,-2.2153,-2.0062,-2.1326,-1.4467,-1.4028,-1.7198,-1.9424,-0.8016,-0.0909
-2.3458,-1.5045,-1.4518,-1.8535,-2.0412,-1.7035,-1.5523,-0.5648,-0.3443,-0.9599,-0.3024,-0.0285,-2.1331,-2.5101,-1.7728,-1.3779,-2.0425,-1.0666,-2.0864,-2.4654,-2.7769,-2.4258,-2.2045,-2.2235,-1.5194,-1.3444,-1.7068,-1.8803,-0.8478,-0.0489
-2.5682,-1.6768,-1.6126,-2.0308,-2.2453,-1.9266,-1.7221,-0.6909,-0.5487,-1.133,-0.3412,0.0003,-2.2338,-2.6759,-1.968,-1.5255,-2.2266,-1.2699,-2.2904,-2.666,-2.9746,-2.5652,-2.3422,-2.2507,-1.523,-1.2226,-1.6305,-1.8073,-0.8966,-0.0316
-2.7521,-1.8066,-1.7443,-2.1606,-2.3772,-2.0908,-1.8102,-0.7668,-0.6963,-1.2191,-0.3498,-0.0038,-2.2826,-2.7656,-2.1348,-1.6183,-2.3811,-1.4729,-2.4442,-2.8064,-3.099,-2.6348,-2.4199,-2.2148,-1.4625,-1.0482,-1.4954,-1.7371,-0.9476,-0.0476
