FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
0.0739,0.1371,0.0596,0.2867,0.2271,0.0413,0.1313,0.1663,0.246,0.1761,0.165,0.0733,0.2884,0.2503,0.0933,0.2285,-0.0505,-0.0677,0.2153,0.3001,0.2531,0.0992,0.073,0.1016,-0.015,0.0721,0.1725,0.0525,0.0826,0.0374
0.0636,0.0945,0.0809,0.2696,0.2186,0.0542,0.119,0.1681,0.3222,0.1641,0.1421,0.0327,0.2659,0.2299,0.08,0.2361,-0.0673,-0.093,0.239,0.2893,0.2443,0.1046,0.0446,0.085,-0.0461,0.0308,0.159,0.0272,0.0359,0.0155
0.0502,0.043,0.1031,0.2424,0.2075,0.0662,0.1024,0.1583,0.3689,0.1469,0.1178,-0.013,0.2307,0.2036,0.0586,0.2462,-0.0738,-0.1256,0.2653,0.28,0.2322,0.1047,0.0183,0.0623,-0.0817,-0.013,0.1372,-0.0055,-0.0169,-0.0206
0.0358,-0.0089,0.1264,0.2089,0.1981,0.0768,0.0848,0.1374,0.3803,0.1291,0.096,-0.0583,0.1866,0.1758,0.0307,0.2584,-0.0701,-0.1615,0.2927,0.2742,0.2194,0.0994,-0.0036,0.036,-0.117,-0.0534,0.1093,-0.0416,-0.0709,-0.067
0.0231,-0.053,0.1501,0.1742,0.1939,0.0856,0.0691,0.1068,0.3563,0.1146,0.0797,-0.0985,0.1393,0.1505,-0.001,0.2722,-0.0568,-0.1953,0.3207,0.2726,0.2082,0.0902,-0.0183,0.01,-0.1469,-0.0847,0.0791,-0.0764,-0.1208,-0.1181
0.0139,-0.0826,0.173,0.1437,0.1979,0.0928,0.0576,0.0691,0.302,0.1062,0.07,-0.1299,0.0947,0.1308,-0.0339,0.2873,-0.0346,-0.2212,0.3495,0.2749,0.2008,0.0801,-0.0237,-0.0115,-0.1665,-0.1028,0.0513,-0.1064,-0.1612,-0.1671
0.0095,-0.0939,0.1937,0.1223,0.2113,0.0993,0.0514,0.0275,0.2266,0.1047,0.0662,-0.1511,0.0582,0.1184,-0.0654,0.3035,-0.0044,-0.2341,0.3799,0.2798,0.1987,0.0736,-0.0184,-0.0246,-0.1725,-0.1053,0.0305,-0.1288,-0.1881,-0.2076
0.0096,-0.0861,0.2109,0.1138,0.2334,0.1062,0.0506,-0.014,0.1417,0.1093,0.0664,-0.162,0.0338,0.1139,-0.0938,0.3212,0.0327,-0.2313,0.4129,0.2861,0.2029,0.075,-0.0023,-0.0267,-0.1639,-0.0926,0.02,-0.1427,-0.199,-0.2345
0.0123,-0.0615,0.2241,0.1203,0.2624,0.1154,0.055,-0.0509,0.0593,0.118,0.0681,-0.1637,0.024,0.1173,-0.1178,0.341,0.0754,-0.2121,0.4493,0.2929,0.2144,0.0878,0.0232,-0.0172,-0.1422,-0.0674,0.022,-0.148,-0.1934,-0.245
0.015,-0.0245,0.2337,0.1423,0.2958,0.1282,0.0646,-0.0786,-0.0102,0.1293,0.0693,-0.1574,0.0295,0.1285,-0.1367,0.3643,0.1225,-0.1788,0.4895,0.3002,0.2343,0.114,0.0558,0.0033,-0.1111,-0.0335,0.0366,-0.1455,-0.1727,-0.2388
