FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
0.5581,1.0904,0.6868,1.0525,1.1842,0.6562,0.6749,0.2188,0.1362,0.2848,0.2406,0.1947,0.7123,0.958,0.5636,1.3339,1.1089,0.9047,1.2857,1.3089,1.239,1.1508,0.9644,0.7625,0.4212,0.208,0.4977,0.215,0.6008,0.9374
0.5059,1.2323,0.7276,1.1478,1.2008,0.7241,0.7002,0.2021,0.1496,0.299,0.271,0.2333,0.7512,1.0021,0.548,1.3996,1.1994,0.9451,1.3647,1.3705,1.284,1.1895,0.9722,0.7826,0.4452,0.225,0.5315,0.2377,0.6214,0.9623
0.448,1.3383,0.7427,1.2087,1.1796,0.7679,0.6879,0.1755,0.1639,0.301,0.3008,0.262,0.7531,1.0091,0.507,1.4115,1.2312,0.9382,1.3774,1.3817,1.283,1.1729,0.9288,0.7657,0.4357,0.2213,0.5399,0.2416,0.6035,0.9152
0.3879,1.3891,0.7201,1.2203,1.114,0.7696,0.6331,0.1403,0.1744,0.284,0.3229,0.2738,0.712,0.9727,0.4443,1.3604,1.1915,0.8792,1.3173,1.3327,1.229,1.0964,0.8329,0.7092,0.3879,0.1925,0.5163,0.2227,0.5412,0.7923
0.3324,1.3699,0.6509,1.1741,1.0044,0.7163,0.5372,0.0985,0.1768,0.2444,0.3308,0.2642,0.6285,0.8941,0.3708,1.2462,1.0741,0.771,1.1869,1.2236,1.1239,0.9652,0.6906,0.6163,0.303,0.1373,0.4588,0.1796,0.4343,0.5998
0.2932,1.275,0.5332,1.0713,0.8609,0.6061,0.4093,0.0542,0.1689,0.1846,0.3207,0.2329,0.5121,0.7836,0.3048,1.0802,0.8819,0.6256,0.9996,1.0671,0.9811,0.796,0.5165,0.4982,0.19,0.0592,0.3721,0.1153,0.2898,0.3539
0.2882,1.1101,0.3768,0.9252,0.7057,0.4512,0.2673,0.0135,0.1525,0.1141,0.2942,0.1857,0.3821,0.6623,0.2688,0.8857,0.6297,0.4639,0.7814,0.8892,0.8261,0.6169,0.3341,0.374,0.0656,-0.0321,0.2689,0.0379,0.122,0.0806
0.3381,0.8949,0.2048,0.7612,0.5711,0.2787,0.1366,-0.0149,0.1344,0.0496,0.2594,0.1339,0.2663,0.5597,0.2857,0.697,0.3457,0.314,0.5696,0.7278,0.6945,0.4642,0.1744,0.2698,-0.0471,-0.1213,0.1688,-0.0397,-0.0487,-0.1866
0.4618,0.6634,0.0514,0.615,0.4957,0.1277,0.0469,-0.0212,0.1247,0.0117,0.2295,0.0935,0.1964,0.5099,0.3716,0.5548,0.0711,0.2079,0.4089,0.627,0.6266,0.3776,0.0715,0.2139,-0.1231,-0.1891,0.0953,-0.1017,-0.1994,-0.4111
0.6692,0.4599,-0.0443,0.5269,0.5157,0.0414,0.0262,0.0034,0.1347,0.0204,0.2199,0.0804,0.2021,0.5446,0.5299,0.5005,-0.1429,0.1755,0.3446,0.629,0.6595,0.3927,0.0564,0.2317,-0.1418,-0.2171,0.0706,-0.1325,-0.3085,-0.56
0.9545,0.3334,-0.0474,0.5341,0.6566,0.0577,0.0938,0.0633,0.1733,0.0891,0.2441,0.107,0.3032,0.6846,0.7465,0.5677,-0.2427,0.2387,0.4135,0.7649,0.8179,0.5319,0.1508,0.3385,-0.0926,-0.1925,0.1093,-0.1214,-0.361,-0.6105
1.2929,0.3285,0.0641,0.6624,0.9252,0.1996,0.2553,0.157,0.2439,0.2204,0.3093,0.1781,0.5041,0.9338,0.9897,0.7754,-0.182,0.4052,0.6352,1.0462,1.1065,0.7991,0.3599,0.5347,0.0209,-0.1122,0.2143,-0.065,-0.3515,-0.5554
1.6425,0.4766,0.2935,0.9198,1.3061,0.4686,0.5006,0.2765,0.3435,0.4053,0.415,0.29,0.7913,1.2765,1.217,1.1227,0.0674,0.6667,1.0058,1.461,1.5066,1.176,0.6704,0.8043,0.181,0.0164,0.3748,0.0319,-0.2853,-0.4041
1.9509,0.7888,0.623,1.2934,1.7637,0.8425,0.8058,0.4089,0.4634,0.6252,0.5533,0.4315,1.1358,1.6794,1.3857,1.5875,0.5059,0.999,1.496,1.9744,1.9791,1.624,1.0502,1.1175,0.3613,0.1772,0.5701,0.1581,-0.1769,-0.1806
2.1666,1.2512,1.0167,1.7504,2.2477,1.278,1.1382,0.5389,0.5913,0.8563,0.7115,0.5873,1.4984,2.0973,1.4661,2.1285,1.0996,1.3662,2.0543,2.5339,2.4703,2.0904,1.4531,1.4366,0.5329,0.3498,0.7737,0.2989,-0.0465,0.0822
2.2509,1.8237,1.4253,2.2417,2.7018,1.7174,1.4619,0.6515,0.7128,1.0745,0.8742,0.7405,1.8366,2.4811,1.4505,2.6904,1.7812,1.7258,2.6137,3.0775,2.9215,2.5159,1.8252,1.7225,0.6719,0.5136,0.9593,0.4394,0.0844,0.3485
2.1874,2.4435,1.795,2.7088,3.0721,2.0985,1.7426,0.7338,0.8142,1.2585,1.0258,0.8755,2.1115,2.7852,1.3537,3.2105,2.4591,2.0353,3.1027,3.5423,3.278,2.8447,2.1148,1.9418,0.7635,0.652,1.105,0.5661,0.1967,0.5857
1.9859,3.0338,2.0761,3.0928,3.3151,2.3664,1.9519,0.7764,0.8835,1.3922,1.1519,0.9798,2.2932,2.9741,1.207,3.6281,3.0349,2.2583,3.4572,3.8742,3.4972,3.0337,2.2816,2.0717,0.8045,0.7542,1.1962,0.6688,0.2772,0.7689
1.6797,3.5156,2.2319,3.343,3.4034,2.4825,2.0693,0.7739,0.9122,1.4651,1.2413,1.0454,2.3641,3.0271,1.0464,3.8929,3.423,2.3694,3.6312,4.0345,3.5545,3.0595,2.3047,2.1032,0.8023,0.8171,1.227,0.7415,0.319,0.8838
1.318,3.8217,2.2443,3.425,3.329,2.4324,2.0838,0.7249,0.8957,1.4722,1.2858,1.0689,2.3202,2.9397,0.9011,3.9728,3.5685,2.3578,3.6045,4.0053,3.4449,2.9215,2.1865,2.0408,0.7719,0.8442,1.1994,0.7819,0.3222,0.9273
0.9546,3.9091,2.1167,3.3271,3.1025,2.2265,1.994,0.6319,0.8338,1.4129,1.2815,1.0513,2.1703,2.7228,0.7867,3.8583,3.457,2.2281,3.3843,3.7907,3.1828,2.641,1.9507,1.9003,0.7316,0.8436,1.1224,0.7917,0.292,0.9073
0.6363,3.7679,1.8721,3.0618,2.7509,1.8977,1.8085,0.5011,0.7306,1.2919,1.2288,0.9974,1.9334,2.4009,0.7041,3.5643,3.1157,1.9991,3.003,3.4162,2.7989,2.2568,1.6369,1.7051,0.6985,0.8259,1.0094,0.7748,0.2373,0.8402
0.3938,3.4242,1.5485,2.6653,2.3139,1.4945,1.5455,0.3424,0.5943,1.1187,1.1323,0.9147,1.6363,2.0086,0.6432,3.1279,2.6066,1.7012,2.5124,2.9248,2.3354,1.8182,1.2933,1.4818,0.685,0.8009,0.8759,0.7366,0.1687,0.7479
0.2368,2.9363,1.1912,2.1919,1.8378,1.0721,1.2313,0.1694,0.437,0.9086,1.0017,0.8129,1.3098,1.5864,0.5888,2.603,2.0141,1.3727,1.9758,2.3711,1.841,1.3785,0.9681,1.2573,0.6962,0.776,0.7373,0.6836,0.0973,0.6534
0.1557,2.3832,0.8454,1.7054,1.3705,0.6839,0.8984,-0.0016,0.2736,0.6818,0.8505,0.7034,0.9862,1.177,0.5261,2.0527,1.4302,1.054,1.4589,1.8141,1.365,0.9873,0.7024,1.0552,0.7297,0.7554,0.6073,0.6225,0.0336,0.577
0.1283,1.8495,0.5484,1.2682,0.9558,0.3729,0.5815,-0.1534,0.1205,0.4615,0.6956,0.5984,0.6957,0.8202,0.4454,1.5394,0.9378,0.7817,1.0202,1.3095,0.9519,0.6844,0.5242,0.8945,0.7766,0.7402,0.4972,0.5599,-0.014,0.5318
0.1292,1.4082,0.3253,0.9308,0.6276,0.1662,0.313,-0.2701,-0.0072,0.271,0.5544,0.5094,0.4639,0.5486,0.3444,1.1153,0.5964,0.5829,0.703,0.9027,0.6366,0.495,0.4448,0.7871,0.8239,0.7286,0.4154,0.5025,-0.0401,0.5208
0.1384,1.1072,0.1866,0.7235,0.4067,0.0714,0.1184,-0.3405,-0.097,0.1302,0.4435,0.4463,0.3093,0.384,0.2307,0.8147,0.4328,0.4715,0.5292,0.6231,0.4411,0.427,0.4577,0.7378,0.8576,0.7179,0.3667,0.4565,-0.0436,0.537
0.1468,0.9621,0.13,0.6523,0.2992,0.0776,0.0131,-0.3588,-0.1409,0.0532,0.376,0.4165,0.2419,0.3355,0.1202,0.6506,0.4383,0.4467,0.4979,0.482,0.373,0.4713,0.542,0.7446,0.8655,0.7052,0.3532,0.4277,-0.0274,0.5653
